Using device: cuda
Epoch [1/50], Step [10/938], D_loss: 1.3065, G_loss: 0.6940, D(x): 0.54, D(G(z)): 0.50
Epoch [1/50], Step [20/938], D_loss: 1.2322, G_loss: 0.6817, D(x): 0.59, D(G(z)): 0.51
Epoch [1/50], Step [30/938], D_loss: 1.1637, G_loss: 0.6790, D(x): 0.64, D(G(z)): 0.51
Epoch [1/50], Step [40/938], D_loss: 1.0776, G_loss: 0.6976, D(x): 0.68, D(G(z)): 0.50
Epoch [1/50], Step [50/938], D_loss: 0.9928, G_loss: 0.7426, D(x): 0.72, D(G(z)): 0.48
Epoch [1/50], Step [60/938], D_loss: 0.8831, G_loss: 0.8385, D(x): 0.74, D(G(z)): 0.44
Epoch [1/50], Step [70/938], D_loss: 0.7275, G_loss: 1.0042, D(x): 0.78, D(G(z)): 0.38
Epoch [1/50], Step [80/938], D_loss: 0.6358, G_loss: 1.1412, D(x): 0.80, D(G(z)): 0.34
Epoch [1/50], Step [90/938], D_loss: 0.5553, G_loss: 1.2364, D(x): 0.83, D(G(z)): 0.31
Epoch [1/50], Step [100/938], D_loss: 0.5398, G_loss: 1.2832, D(x): 0.84, D(G(z)): 0.30
Epoch [1/50], Step [110/938], D_loss: 0.4971, G_loss: 1.3777, D(x): 0.85, D(G(z)): 0.28
Epoch [1/50], Step [120/938], D_loss: 0.3734, G_loss: 1.6800, D(x): 0.87, D(G(z)): 0.21
Epoch [1/50], Step [130/938], D_loss: 0.2721, G_loss: 2.0808, D(x): 0.90, D(G(z)): 0.15
Epoch [1/50], Step [140/938], D_loss: 0.3153, G_loss: 1.9477, D(x): 0.90, D(G(z)): 0.19
Epoch [1/50], Step [150/938], D_loss: 0.2736, G_loss: 2.1623, D(x): 0.90, D(G(z)): 0.15
Epoch [1/50], Step [160/938], D_loss: 0.1975, G_loss: 2.5409, D(x): 0.91, D(G(z)): 0.10
Epoch [1/50], Step [170/938], D_loss: 0.2010, G_loss: 2.3912, D(x): 0.93, D(G(z)): 0.12
Epoch [1/50], Step [180/938], D_loss: 0.1690, G_loss: 2.4846, D(x): 0.93, D(G(z)): 0.09
Epoch [1/50], Step [190/938], D_loss: 0.1702, G_loss: 2.4006, D(x): 0.94, D(G(z)): 0.10
Epoch [1/50], Step [200/938], D_loss: 0.1353, G_loss: 2.6902, D(x): 0.95, D(G(z)): 0.08
Epoch [1/50], Step [210/938], D_loss: 0.1353, G_loss: 2.7611, D(x): 0.95, D(G(z)): 0.08
Epoch [1/50], Step [220/938], D_loss: 0.1334, G_loss: 2.8467, D(x): 0.95, D(G(z)): 0.08
Epoch [1/50], Step [230/938], D_loss: 0.1105, G_loss: 2.8873, D(x): 0.96, D(G(z)): 0.06
Epoch [1/50], Step [240/938], D_loss: 0.1268, G_loss: 2.5262, D(x): 0.93, D(G(z)): 0.06
Epoch [1/50], Step [250/938], D_loss: 0.1104, G_loss: 2.8750, D(x): 0.95, D(G(z)): 0.06
Epoch [1/50], Step [260/938], D_loss: 0.1138, G_loss: 2.7989, D(x): 0.95, D(G(z)): 0.06
Epoch [1/50], Step [270/938], D_loss: 0.1293, G_loss: 3.1286, D(x): 0.95, D(G(z)): 0.08
Epoch [1/50], Step [280/938], D_loss: 0.1015, G_loss: 2.7263, D(x): 0.94, D(G(z)): 0.04
Epoch [1/50], Step [290/938], D_loss: 0.1088, G_loss: 2.3477, D(x): 0.93, D(G(z)): 0.03
Epoch [1/50], Step [300/938], D_loss: 0.4155, G_loss: 3.5038, D(x): 0.95, D(G(z)): 0.29
Epoch [1/50], Step [310/938], D_loss: 0.2712, G_loss: 2.3285, D(x): 0.87, D(G(z)): 0.12
Epoch [1/50], Step [320/938], D_loss: 0.0693, G_loss: 3.5379, D(x): 0.97, D(G(z)): 0.04
Epoch [1/50], Step [330/938], D_loss: 0.1316, G_loss: 3.1353, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [340/938], D_loss: 0.1160, G_loss: 3.2706, D(x): 0.94, D(G(z)): 0.06
Epoch [1/50], Step [350/938], D_loss: 0.0894, G_loss: 3.4029, D(x): 0.96, D(G(z)): 0.04
Epoch [1/50], Step [360/938], D_loss: 0.1097, G_loss: 2.9339, D(x): 0.95, D(G(z)): 0.06
Epoch [1/50], Step [370/938], D_loss: 0.1052, G_loss: 3.1969, D(x): 0.96, D(G(z)): 0.06
Epoch [1/50], Step [380/938], D_loss: 0.1162, G_loss: 2.2535, D(x): 0.93, D(G(z)): 0.04
Epoch [1/50], Step [390/938], D_loss: 0.3752, G_loss: 2.4521, D(x): 0.81, D(G(z)): 0.14
Epoch [1/50], Step [400/938], D_loss: 0.1134, G_loss: 3.0144, D(x): 0.95, D(G(z)): 0.06
Epoch [1/50], Step [410/938], D_loss: 0.1225, G_loss: 2.8539, D(x): 0.94, D(G(z)): 0.06
Epoch [1/50], Step [420/938], D_loss: 0.1216, G_loss: 2.9466, D(x): 0.94, D(G(z)): 0.05
Epoch [1/50], Step [430/938], D_loss: 0.1072, G_loss: 3.1844, D(x): 0.95, D(G(z)): 0.05
Epoch [1/50], Step [440/938], D_loss: 0.1848, G_loss: 3.0825, D(x): 0.97, D(G(z)): 0.14
Epoch [1/50], Step [450/938], D_loss: 0.1520, G_loss: 2.1890, D(x): 0.90, D(G(z)): 0.05
Epoch [1/50], Step [460/938], D_loss: 0.1346, G_loss: 2.4192, D(x): 0.91, D(G(z)): 0.04
Epoch [1/50], Step [470/938], D_loss: 0.8894, G_loss: 1.1791, D(x): 0.67, D(G(z)): 0.38
Epoch [1/50], Step [480/938], D_loss: 0.3547, G_loss: 2.2627, D(x): 0.79, D(G(z)): 0.10
Epoch [1/50], Step [490/938], D_loss: 0.2149, G_loss: 2.9813, D(x): 0.88, D(G(z)): 0.08
Epoch [1/50], Step [500/938], D_loss: 0.1483, G_loss: 2.8988, D(x): 0.93, D(G(z)): 0.07
Epoch [1/50], Step [510/938], D_loss: 0.1682, G_loss: 3.0459, D(x): 0.95, D(G(z)): 0.11
Epoch [1/50], Step [520/938], D_loss: 0.1340, G_loss: 3.3553, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [530/938], D_loss: 0.6641, G_loss: 1.5791, D(x): 0.56, D(G(z)): 0.06
Epoch [1/50], Step [540/938], D_loss: 0.2299, G_loss: 2.5102, D(x): 0.89, D(G(z)): 0.11
Epoch [1/50], Step [550/938], D_loss: 0.1552, G_loss: 2.8279, D(x): 0.92, D(G(z)): 0.07
Epoch [1/50], Step [560/938], D_loss: 0.1312, G_loss: 3.1658, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [570/938], D_loss: 0.1270, G_loss: 3.0600, D(x): 0.95, D(G(z)): 0.07
Epoch [1/50], Step [580/938], D_loss: 0.1255, G_loss: 3.0037, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [590/938], D_loss: 0.1265, G_loss: 3.0198, D(x): 0.95, D(G(z)): 0.07
